epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.89726,1.20848,2.45243,0.93135,0.00451,0.53488,0.00699,0.00465,1.10669,3.47877,0.89499,0.00053344,0.00053344,0.00053344
2,12.3369,1.28622,1.5569,0.95521,1,0.0715,0.73771,0.39486,1.17852,2.43262,0.88763,0.0010621,0.0010621,0.0010621
3,17.5808,1.2145,1.29605,0.93497,1,0.44748,0.89465,0.45106,1.29455,1.8656,0.9257,0.00156897,0.00156897,0.00156897
4,22.7723,1.19394,1.18007,0.93458,0.92607,0.81156,0.94059,0.51233,1.18046,0.95968,0.91543,0.00156798,0.00156798,0.00156798
5,27.891,1.20283,1.16766,0.93673,0.8614,0.83813,0.88395,0.45336,1.25495,0.797,0.92847,0.00153497,0.00153497,0.00153497
6,33.0468,1.15244,0.99278,0.9305,0.92827,0.88181,0.92386,0.52028,1.09129,0.74374,0.91681,0.00150197,0.00150197,0.00150197
7,38.5038,1.11543,0.93042,0.9315,0.90408,0.89569,0.9266,0.52144,1.23,0.69151,0.935,0.00146896,0.00146896,0.00146896
8,43.6973,1.12167,0.83801,0.92956,0.96413,0.93418,0.95424,0.52646,1.21587,0.64319,0.93739,0.00143595,0.00143595,0.00143595
9,48.8123,1.14353,0.80875,0.92259,0.90536,0.81395,0.91816,0.53081,1.08495,0.65473,0.89979,0.00140295,0.00140295,0.00140295
10,53.92,1.14739,0.78618,0.93713,0.9014,0.88269,0.92848,0.53951,1.05861,0.62113,0.90266,0.00136994,0.00136994,0.00136994
11,59.3294,1.06726,0.75826,0.9168,0.93191,0.92155,0.93378,0.50313,1.13498,0.63114,0.90469,0.00133693,0.00133693,0.00133693
12,64.6331,1.09143,0.72742,0.91818,0.94058,0.90698,0.93553,0.52289,1.07667,0.61762,0.90568,0.00130393,0.00130393,0.00130393
13,69.9069,1.04653,0.68529,0.91198,0.96448,0.90698,0.93723,0.51555,1.06092,0.54993,0.89416,0.00127092,0.00127092,0.00127092
14,75.1318,1.03302,0.66518,0.90106,0.94389,0.9186,0.94749,0.56801,1.07864,0.61202,0.89446,0.00123791,0.00123791,0.00123791
15,80.1646,0.99871,0.6461,0.89897,0.95588,0.92679,0.95409,0.56031,1.0605,0.55298,0.89728,0.00120491,0.00120491,0.00120491
16,85.2233,1.0342,0.6294,0.90895,0.94978,0.90548,0.9373,0.55922,1.03936,0.55981,0.88534,0.0011719,0.0011719,0.0011719
17,90.3606,0.99413,0.61466,0.88562,0.94109,0.90083,0.94681,0.58571,1.0262,0.56068,0.89776,0.00113889,0.00113889,0.00113889
18,95.4734,1.01142,0.64186,0.90259,0.94784,0.90698,0.93463,0.5649,1.07365,0.55303,0.91125,0.00110589,0.00110589,0.00110589
19,100.467,1.00517,0.60015,0.89325,0.97517,0.93023,0.95181,0.56441,1.10539,0.53837,0.91188,0.00107288,0.00107288,0.00107288
20,105.72,1.01541,0.60426,0.89991,0.95596,0.92795,0.93914,0.54628,1.07091,0.54781,0.8958,0.00103987,0.00103987,0.00103987
21,110.783,0.95803,0.59633,0.8656,0.97066,0.94186,0.96433,0.58639,1.0164,0.50727,0.89674,0.00100687,0.00100687,0.00100687
22,115.742,0.97419,0.57752,0.88535,0.95121,0.92171,0.96206,0.55986,1.01772,0.52739,0.89422,0.000973861,0.000973861,0.000973861
23,120.747,0.95214,0.55729,0.8871,0.9271,0.9186,0.94147,0.54519,1.10746,0.50382,0.90174,0.000940855,0.000940855,0.000940855
24,125.767,0.95071,0.54603,0.88197,0.96979,0.90698,0.94216,0.55793,1.07014,0.52632,0.90961,0.000907848,0.000907848,0.000907848
25,130.804,0.92072,0.54222,0.8792,0.93539,0.89535,0.92789,0.54341,1.08292,0.50863,0.91504,0.000874842,0.000874842,0.000874842
26,135.788,0.96355,0.56121,0.88865,0.96401,0.89535,0.95545,0.56357,1.03342,0.51613,0.90404,0.000841835,0.000841835,0.000841835
27,140.831,0.91667,0.53476,0.87251,0.97994,0.91589,0.94578,0.58492,1.05309,0.49358,0.90192,0.000808828,0.000808828,0.000808828
28,145.918,0.9126,0.53722,0.87301,0.97738,0.91536,0.94965,0.58819,0.99263,0.5023,0.89071,0.000775822,0.000775822,0.000775822
29,150.892,0.92843,0.53728,0.88862,0.96533,0.93887,0.95283,0.58805,1.02655,0.47116,0.88497,0.000742815,0.000742815,0.000742815
30,155.91,0.90009,0.51208,0.87046,0.91255,0.95349,0.94916,0.589,1.01952,0.48852,0.90278,0.000709809,0.000709809,0.000709809
31,160.943,0.90352,0.52383,0.87565,0.96661,0.9286,0.95332,0.58159,0.97818,0.47829,0.89394,0.000676802,0.000676802,0.000676802
32,166.1,0.88048,0.50787,0.871,0.91922,0.89927,0.93191,0.59784,0.98603,0.48441,0.89275,0.000643795,0.000643795,0.000643795
33,171.16,0.87429,0.49725,0.86717,0.95163,0.90924,0.94591,0.59167,0.99758,0.46655,0.89104,0.000610789,0.000610789,0.000610789
34,176.275,0.89465,0.50268,0.87522,0.94241,0.87209,0.93778,0.54518,1.05955,0.48207,0.89318,0.000577782,0.000577782,0.000577782
35,181.376,0.85746,0.4782,0.87708,0.99494,0.85842,0.9308,0.56236,1.06645,0.46499,0.90448,0.000544776,0.000544776,0.000544776
36,186.62,0.84516,0.47771,0.86249,0.93827,0.93023,0.94924,0.56384,1.11266,0.49139,0.91921,0.000511769,0.000511769,0.000511769
37,191.644,0.88743,0.49061,0.86696,0.98069,0.91786,0.94877,0.57347,1.03907,0.47248,0.9016,0.000478762,0.000478762,0.000478762
38,196.667,0.84814,0.47484,0.86871,0.95303,0.9186,0.94141,0.59097,1.04608,0.48348,0.90468,0.000445756,0.000445756,0.000445756
39,201.751,0.84274,0.47014,0.86299,0.9338,0.90698,0.93693,0.59326,0.99476,0.46181,0.89473,0.000412749,0.000412749,0.000412749
40,206.812,0.79449,0.44233,0.8546,0.9547,0.93982,0.94839,0.58452,1.00284,0.46127,0.89058,0.000379743,0.000379743,0.000379743
41,242.906,0.85706,0.47621,0.87648,0.96453,0.90366,0.94035,0.57422,1.02479,0.46511,0.89491,0.000346736,0.000346736,0.000346736
42,249.058,0.79109,0.45584,0.83547,0.97462,0.9186,0.94354,0.59004,1.0108,0.45396,0.89525,0.000313729,0.000313729,0.000313729
43,254.463,0.79755,0.43728,0.84388,0.97526,0.9186,0.94491,0.59399,1.01001,0.44006,0.89914,0.000280723,0.000280723,0.000280723
44,259.699,0.77518,0.43852,0.83538,0.9208,0.89535,0.92268,0.58328,0.9798,0.44854,0.89014,0.000247716,0.000247716,0.000247716
45,264.863,0.76743,0.42248,0.83712,0.95024,0.9186,0.94209,0.59664,1.01949,0.44929,0.89609,0.00021471,0.00021471,0.00021471
46,269.984,0.74675,0.41705,0.83346,0.9348,0.90698,0.94303,0.61909,0.96553,0.42681,0.88755,0.000181703,0.000181703,0.000181703
47,275.137,0.73245,0.4086,0.82097,0.97921,0.93023,0.95956,0.61157,0.96986,0.43826,0.89407,0.000148696,0.000148696,0.000148696
48,280.449,0.70534,0.40155,0.81348,0.96637,0.92274,0.95324,0.6206,0.93908,0.42423,0.88408,0.00011569,0.00011569,0.00011569
49,285.816,0.70801,0.39833,0.82941,0.97973,0.92575,0.95203,0.62897,0.9623,0.42872,0.88897,8.26832e-05,8.26832e-05,8.26832e-05
