epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.406,1.19383,2.3291,0.93671,0.00601,0.6,0.24823,0.18836,1.01594,3.48913,0.86698,0.000541419,0.000541419,0.000541419
2,251.99,1.23212,1.45371,0.95399,1,0.03185,0.62458,0.38065,1.13166,2.82457,0.9135,0.00107536,0.00107536,0.00107536
3,383.938,1.19616,1.27595,0.94536,0.96945,0.71707,0.86168,0.46118,1.30344,1.73241,0.97107,0.0015873,0.0015873,0.0015873
4,475.47,1.21201,1.17577,0.97503,0.86802,0.79755,0.86365,0.46691,1.14493,1.12037,0.97322,0.00156798,0.00156798,0.00156798
5,590.562,1.16684,1.01248,0.95601,0.83438,0.79275,0.81241,0.47057,1.1303,1.0089,0.93391,0.00153497,0.00153497,0.00153497
6,722.719,1.13669,0.92815,0.93388,0.88247,0.84123,0.8613,0.46965,1.17806,0.87239,0.96393,0.00150197,0.00150197,0.00150197
7,855.475,1.13638,0.86175,0.93641,0.91474,0.86198,0.89211,0.52152,1.10946,0.76619,0.92675,0.00146896,0.00146896,0.00146896
8,994.921,1.0962,0.77816,0.91514,0.90799,0.83519,0.88961,0.50718,1.09126,0.75581,0.93163,0.00143595,0.00143595,0.00143595
9,1144.86,1.09264,0.74238,0.92252,0.93531,0.87065,0.90661,0.52162,1.02015,0.67674,0.94656,0.00140295,0.00140295,0.00140295
10,1290.16,1.08856,0.70962,0.92413,0.90025,0.8466,0.88066,0.52818,1.01586,0.66425,0.90909,0.00136994,0.00136994,0.00136994
11,1430.4,1.04906,0.68957,0.92008,0.91865,0.88462,0.89595,0.54241,1.01306,0.60338,0.9273,0.00133693,0.00133693,0.00133693
12,1556.41,1.03997,0.65613,0.90769,0.92584,0.85429,0.9065,0.51681,1.08747,0.63119,0.94477,0.00130393,0.00130393,0.00130393
13,1671.23,1.05099,0.66606,0.91104,0.87824,0.8787,0.88486,0.50503,1.05161,0.62028,0.94012,0.00127092,0.00127092,0.00127092
14,1785.02,1.04627,0.62137,0.90892,0.867,0.85989,0.85772,0.53584,1.01439,0.56228,0.92704,0.00123791,0.00123791,0.00123791
15,1911.99,1.01358,0.60685,0.90305,0.81767,0.84068,0.84409,0.52012,1.06923,0.612,0.92532,0.00120491,0.00120491,0.00120491
16,2033.51,1.00848,0.60927,0.90453,0.86144,0.85714,0.87623,0.50793,1.04702,0.57611,0.92517,0.0011719,0.0011719,0.0011719
17,2150.18,0.98315,0.58522,0.90506,0.95751,0.86198,0.90762,0.56499,0.97649,0.52584,0.92775,0.00113889,0.00113889,0.00113889
18,2263.7,1.00774,0.58096,0.9053,0.96134,0.90189,0.91823,0.55389,1.01317,0.54622,0.92211,0.00110589,0.00110589,0.00110589
